,Reviews
6525,earned received free prime shipping benefit august 2012 amazon mom member purchasing qualifying item let clear started shopping much amazon receive extend shipping benefit purchasing qualifying item amazon purchase history show started using often promise amazon continue buy qualifying item extend shipping benefit previously enjoyed shopping amazon often even got amazon kindle fire christmas week ago trying view video kindle fire saw get unless prime member thought via amazon mom membership see expected clicking prime icon fire would charged prime membership already prime member realized fact charged dollars79 prime membership turn video membership upgrade pay though know time called canceled paid membership received refund went order next amazon item saw charged shipping although told shipping benefit august 2012 called amazon idea going shipping benefit canceled etc referred problem supervisor technical team would get back two business day one week later heard nothing went amazon account read home screen free shipping benefit expired would pay prime membership get back free shipping benefit august according amazon accidentally signing video prime benefit using product kindle fire canceling also canceled free shipping benefit instead sorry mistake restore right away amazon told way restore benefit want paid video benefit want free shipping benefit earned promised buying qualifying item amazon august 2012 free shipping benefit week ago canceled note receive amazon message amazon mom shipping benefit expired called using one product accidentally sign upgraded service canceling within minute without ever actually using upgraded service lost free promised earned shipping benefit amazon refuse restore awful customer service awful policy company care customer satisfaction read full review
6526,placed order 48 cd amazon website 2012 02 01 price low assumed time ordered clearance older cd thought great wonderful deal received first 16 cd higher priced item 2012 02 06 great assumed 32 soon follow 2012 02 11 received e mail explained item would later original delivery estimate asked still like keep order place problem replied would wait morning 2012 02 13 received e mail stated contacting order number unfortunately recently discovered error caused following item displayed incorrect price case unable offer item incorrectly posted price therefore cancelled order item unbelievable since listed item lower would liked cancelling order thought seller would responsible advertised price order already completed placed confirmed e mail lawyer would work case pro bono would happy cooperate item principle issue read full review
6527,son huge cookie monster fan birthday going buy cookie monster cake pan bake cake found one sold roger amazon dollars30 entered shipping billing information way amazon asked knowing guy would try usps package delivery house usps ship package usps obviously get returned charge double shipping expense say putting back sale amazon go buy product changed price dollars100 thinking never getting product first place wanted go back spend money pretty loyal amazon buyer longer using amazon purchase thought getting ripped even worse disturbing probably good chance would happen
6528,selling item amazon com 2 month buyer order item shipped item tracking information item arrived customer left feedback include received correct condition emailed one week later say lost moving retracted feedback filed claim received refund email give amazon com useless avoid phone face face communication cost amazon employee reach phone told 99 percent claim best interest buyer protection item sell first thought came mind close account sell another item beta tested forum downright nasty amazon seller question received significant drama told worth benefit using service trust would steer clear closed account happy forget amazon com
6529,ordered book dec 8 arrive dec 20 checked status said order cancelled dec 9 cancel reordered arrive christmas sent email saying would delivered jan 4 jan 22 22nd received email saying still available would sent feb 1 first received email asking still wanted still available said yes check seller price gone dramatically since holiday found cheaper barnes noble think widely available yanked around amazon think long hard ordering good luck people sell amazon one case amazon seller made angry tell everyone going call state attorney general since live state amazon still thinking read full review
6530,ordered product amazon january 23 january 26 processed sent back long beach ca know problem processing center nothing wrong package ordered another package january 23 sitting processing center 26th january 31 january 1 package sent back long beach ca could find problem dollars100 product wait 2 week get refund
6531,searching 64gb sdhc card one particular vendor amazon sold lexar brand name brand review lexar appeared brand also review good bad questioned amazon said share review like item would lexar feel lumped together name brand review acceptable brand review review trust review right way thing one reason shop amazon review trust possible bunch review like read full review
6532,ordered mp3 player dec 29 attempted contact seller several day later available via email tried three different time unsuccessful informed amazon com problem told could nothing 30 day order placed even though knew seller thief waited 30th filed complaint money refunded told may refunded feb 10 take amazon com 42 day maybe refund money product never plain part amazon
6533,tried open account amazon canada apparently someone using e mail without knowledge feel violated would like know possible amazon intervene individual order obtain redress know new customer
6534,sent x box 360 console trade gift card changed mind cancelled amazon say 30 day return cannot track package emailed/faxed office president reply back asked get merchant name number still tell know help
6535,sold book amazon com feb 15 order number three month 18 day message received june 03 2011 amazon say buyer receive shipment replied day unacceptable claim according amazon policy according amazon policy buyer right make claim 90 day receive reply buyer afterwards jan 27 2012 amazon waiting long account increase took money saying refunding money message received amazon say reason misrepresentation amazon totally false 1 buyer never claimed misrepresentation reason given amazon steal money 2 amazon representative wrote receive e mail e mail 3 according amazon policy cannot accept claim 90 day 4 opinion suggested said tracking number amazon never forced seller use tracking number 5 amazon collected share money sale made never returned 6 reply amazon able give explanation except saying money paid nothing amazon pay money continue put case ever people understand read full review
6536,top sheet small something really see bed made think twice ordering
6537,sold book amazon buyer requested next day shipping cost dollars30 ship got credit shipping amount price set book minus amazon fee amazon tell fault anticipate buyer going want next day shipping include amount charge book never business understand got credit shipping even ground shipping
6538,although pleased dvd received past friday expected contain bonus meditation awaken mind body 18 min listed front dvd cover firm burn jane fonda interested knowing bonus meditation included dvd purchased thank touch explanation also receive bonus meditation thank
6539,returned item amazon com 4 week ago contacted let know item received trouble crediting credit card item valued almost dollars2000 called four time try resolve problem number toll free country like jamaica bermuda put hold 10 15 minute nothing got resolved still waiting refund four week later angry unhappy amazon com
6540,husband stellar credit honest business dealing last week opened seller account amazon never seller account school book sell quite well one week sold eight book net due approx dollars150 yesterday went confirm shipping last two order found seller account suspended startling disturbing email hello amazon writing let know removed selling privilege canceled listing placed temporary hold fund seller account took action record indicate account related another selling account closed amazon selling privilege removed seller allowed establish new account due proprietary nature business provide detailed information determine account related encourage take appropriate step resolve pending order note amount paid result z guarantee claim charge back may deducted seller account 90 day remaining fund available per settlement schedule hold removed balance settlement information available payment section seller account question fund please write amazon com course appealed refused said following hello amazon com thank writing unable provide detailed information link related account however thoroughly reviewed record confirmed significant evidence account related another previously blocked account seller account remain accessible please take step resolve pending sale remaining fund may reserved 90 day date account blocked 90 day fund disbursed provided receive charge back z guarantee claim sale question disbursement please email amazon com appreciate interest selling amazon com please understand closure account permanent action subsequent selling account opened closed well appealed time said contact respond new business world america guilty ability prove innocence ability see substantial evidence amazon disgrace everything america stand money hire lawyer lot money selling book amazon first place hope get money 90 day thank time consideration anyone know set thing right dishonest company ear read full review
6541,fraudulent procedure theft amazon deserves rating 0 appears one belief amazon com manipulating defrauding customer class action suit filed soon possible like many complainer site acting seller site recently good experience policy outline 14 day holding period seller questioned policy initial seller disbursement failed told would take 21 day although information imparted potential seller entice sell site second time disbursement failed known reason furthermore simply browsing site last week purchase transaction made apparently ghost made believe something occurred amazon end make purchase aware purchase received notification email box purchase almost dollars250 00 much insistence order cancelled banking account caused overdraft fee two purchase actually make amazon initially claimed would fix problem pay fee essentially cited bogus reason unable pay overdraft fee first could see account information clearly secondly would take responsibility order definitely make claim 1 click ordered well clicked nothing believe committing fraud due company financial loss stealing customer seller recoup class action filed similarity complaint consumer read full review
6542,happy amazon com shipping policy placed order january 15th 2012 selected option one day shipping january 15th sunday expected delivery date set january 17th 2012 completely fine understandable ended running two problem first amazon com let 12 hour go sending email stating error credit card needed fix issue order shipping process continue checked account fixed ever needed according amazon com issue fixed would continue shipment however account 4 hour continued say error approval needed otherwise shipping would continue immediately emailed amazon com telling problem fixed stop holding order hour later error notice taken second issue assume amazon com took long fix problem never placed order monday order still never shipped checked regularly see moving along process never finally decided speak online customer service rep see status order told item stock even though website said bold green stock told stock order placed monday item became unavailable constant arguing rep chatting half hour finally told found item would shipped monday night promised would getting package tuesday apologize inconvenience officially monday night order still shipped think safe assume getting one day shipping like requested yes big issue problem people amazon com frustrating nonetheless expect pay get ignored make consumer feel helpless especially big business like amazon com seems impossible get touch anyone kind answer something need change big time need stop getting away whatever want read full review
6543,placed order amazon said dollars118 00 unable cancel credit card number use order wish cancel
6544,opened seller account made dollars412 55 first week one complained received 5 star buyer asked money said 14 day thing thought well ok fair enough time found much stuff amazon proceeded spend dollars742 nearing christmas going use money earned selling stuff 14 day tried log account said something wrong password reset still nothing obviously worried contacted support told record seller/buyer account even laughed said owed money 4 hour spoke nothing written confirmation buyer seller done business amazon customer lawyer pursuing legal action
6545,defrauded amazon last year seller program nearly defrauded managed get alive fraud deal z claim totally unlawful matter look someone gave dead mother excuse amazon froze fund selling kept permanent freeze without ever answering question play heavy handed tactic revolve around stealing freezing fund meant paid particular case amazon froze left one option refund buyer claim fraud allowed person keep item money even froze entitled find option zero star overall amazon fraud revolves around stock market earnings need keep cash hand make earning make earnings stock plummet read full review
6546,bought four dollars25 amazon gift card best buy went apply amazon site 3 card worked 4th card gave useless error message buy amazon gift card work would think amazon great online company would able figure gift card work fix problem instead get sorry offer additional insight action matter amazing read full review
6547,purchased four item amazon com december 30 one item dvd leslie sansone 5 really big mile coming optishopper said site order confirmation return address envelope item came however asked amazon said super fast dvd believe one dvd arrived post office friday january 6 2012 picked noon january 7 2012 envelope perfectly fine inside order summary dvd outer plastic wrap dvd also fine unwrapping noticed paper cover plastic case appeared rippled n unusual color bottom opened case overwhelmed strong chemical like smell everything inside wet dvd wet paper instruction inside wet half stuck inside cover half peeled away stretchy band included product wet floppy even though plastic could imagine smell strong made nauseous gave mother headache quickly put bag tied tight put outside wiped surface touched washed hand smell lingered hour immediately got computer amazon given refund wanted certain amazon going investigating contacting optishopper get back answer come contact one live chat get refund another hour later find contact optishopper told sold know site order confirmation envelope said optishopper 2 1/2 hour later another live chat make sure someone going get back answer told going elevate issue someone would get back 24 48 hour meanwhile filled complaint form seller selling amazon optishopper monday another live chat told would pas complaint someone would contact 48 hour came went contact emailed issue amazon told receive contact 24 hour going file complaint consumer affair next morning email said hello sorry hear condition leslie sansone 5 really big mile arrived appears like package mixed several package usps shipment damaged transit carrier forwarding feedback usps shipping department know want hear experience aware choice delivery service reflects business whole appreciate feedback hope see soon wrote back completely untrue envelope fine wet discoloration rippling nothing whatever happened must happened seller warehouse never would made far wet outside anyone usps smelling smell certain amazon way passing buck unacceptable sent email explaining whole issue optishopper amazon website contacted amazon chat get information filing complaint given address amazon legal department going explain whole incident letter send however wednesday morning january 11 2012 contact anyone amazon resolution issue nothing liquid since breathed touched stunned appalled amazon lack concern failure investigate seller came hope please help issue thanks much time read full review
6548,received kindle fire christmas gift supposed include free 1 month membership amazon prime able access amazon prime initially even downloaded book couple day later signed amazon student service included 6 month membership amazon prime well expedited shipping next day downloaded book disappeared kindle message telling prime membership expired tried talking customer service department disconnected 3 time finally spoke someone told still prime member problem resolve 24 hour called back finally spoke someone somewhat helpful told amazon student account overrode initial signup amazon prime mentioned amazon student supposed include free 6 month membership amazon prime told included prime shipping told go ahead cancel amazon student completely worthless see next paragraph told would talk supervisor reinstate amazon prime membership another instance amazon advertising false pretense signing amazon student ordered textbook supposed receive free expedited shipping received neither thing pay full price shipping order expedited given amazon lot business year buyer seller experience done company sorry wasted dollars200 kindle read full review
6549,would pick star able new seller amazon aware held fund initial 14 day turned 21 day 14 passed saying dispersed fund earned 14 day immediately prior settlement date fine except made dollars180 first week need money call seller support tell money held additional 14 day total 5 week receive fund nowhere policy seller agreement say policy friend brought question reserve money going asked reserve fund going interest bearing account think read complaint place wonder probably million dollar held amazon arbitrary reason made million interest made especially fund held 90 day despite knowing shipment made buyer complaint violation law know making money reserve fund absolutely violating law would interested joining class action suit amazon waiting supervisor return call read full review
6550,amazon closed seller account wife account reason would give last name imagine moron faithful amazon customer many year blue account closed pending sale suspended ridiculous practice somehow investigated every company give least reason account closed/changed/augmented may agree practice least know happening amazon allowed get away simply stating divulge customer information exact customer account suspended consumer demand better service read full review
6551,sold amazon past problem however accidentally created two amazon account password apparently violation company policy one account frozen course freeze account owed money total pay 90 day customer service help say ability resolve problem forward someone
6552,bad password lead frozen account attempting log amazon com last week day christmas system refused accept password allow change password thus locking account purchased ton stuff amazon including lot kindle downloads made repeated attempt get problem resolved via amazon customer service serious joke avail four attempt speak amazon customer service people many cannot speak proficient english told account specialist person unlock account pas u account specialist phone four five promise someone contact u resolve issue one alternative according customer service rep create another account using email address another password lose everything entire purchasing history including kindle book downloaded repurchase book already paid way get issue resolved read full review
6553,amazon google since origin amazon even sent insulated drinking mug consuming regularly thought company gift mankind fabulously efficient likewise google 97 per cent relevance search engine happened pathological greed consumes soon goodbye amazon goodbye google fill blank space try send gift friend amazon determines flog title bought age ago title nothing gift 2 item end basket stupid second come odd mistake consistently benefit company daughter tried send gift kindle work ended buying copy title give gift clumsy attempt defraud people amazon novel old behavior read full review
6554,wife kindle owner wife purchased prime membership cost dollars75 per year added family/guest membership one purchased feature prime ability borrow one kindle book per month kindle device word cannot get borrowed book read kindle book device including apple product purchase kindle device even complaint complaint amazon allow borrow kindle book unless also pay dollars75 per year even though prime member spouse/family member even though spent thousand dollar kindle book alone amazon requires every family member pay dollars75 every year borrow even one book lending library outrageous loved amazon/kindle purchased several kindle device recently upgraded kindle fire purchased kindle touch christmas gift upgrade wife even talking buying kindles kid well spoke amazon say way sorry amount money spend amazon kindle book least able borrow book paying dollars75 year membership fact able borrow one book month simply kindle owner purchased ton kindle book amazon outraged policy going think switching loyalty back nook least barnes noble read book nook free store without spending dollars75 every year membership shame amazon loyal customer deactivated buy 1 click button read full review
6555,called shipping credit seller receive item often cover 50 percent le actual shipping cost item particularly item sized result seller end paying cost pocket sold 3 item last week resulted dollars31 credit received cost dollars75 ship misleading business practice
6556,12/29/10 checked bank statement online found spirit company taken dollars59 95 account without even letting know asking approval prior extremely upset contacted 1800 number speak four different people say sorry like trained say u victim told wait four six week see could check original application recall clicking annually automatic renewal customer know customer always right whoever run department company know care want money writing advise people going situation let get together something wonder many people daily basis robin brooklyn ny october 28 2011 read let something talk lawyer something let keep money something never even used spirit airline offer 9 flight club claiming take advantage great deal time fact virtually impossible find one flight actually available join club pay dollars40 fee small print somewhere signing online state membership automatically renewed annually unless cancel reinstated large print also say cancel time getting money back meantime receive average one two marketing email per day needle say get filtered spam even open email upon annual renewal date idea approached saw charge credit card bill 59 99 spirit airline contacted spirit via email publish customer service phone number tell upset said sorry annual membership fee non refundable understand may covered fact may fine print enrolled complaint fact contacted writing would billed ignore email spirit always inundated see one mentioned yearly renewal sure seems like sneaky way stealing innocent people money aggressive bully ish furthermore make feel stuck say cancel time cancel get nothing still get keep money owe 59 95 read full review
6557,sell small amount item amazon order volton gave shipping address cannot shipped u mail mailbox shipped item came back returned post office said mail receptacle emailed volton needed provide shipping fee dollars5 41for another shipping instead filed complaint amazon explained situation amazon ruled even though customer mistake responsible shipping item second time must pay additional shipping fee clear cut case amazon wrong read full review
6558,selling item amazon com 9 month 241 feedback positive negative customer metric perfect selling unlocked iphones received email stating come attention selling unlocked phone previously tied carrier violation policy called amazon told put word update phone asked anyone called complained said one complained reserve right assume hell guess else freaking technical product detail amazon publisher say thing simply repeating listing sent email stating account closed good holding balance 90 day balance dollars2 234 00 wish join clash action lawsuit company built fraud hope company fry officer burn hell read full review
6559,order running board pickup slightly used according amazon went long process making sure understood make model trim crew cab pick picture model number pop look good verify share problem online shopping went two independent site verify model/make sure enough correct 5 day later get package plainer face head standard cab 1 slightly used even unpacked obviously crew cab may returned previously reason returning going back forth amazon told like many others replacement even though website clearly show unsat told ups make three attempt pick return told amazon taking day work return screw driving screw ups also filed dispute credit card company want package pick porch kma done forever amazon read full review
6560,seller using amazon start dedicated website get many business bring class action amazon make sure get load medium publicity
6561,rating 10 terrible still currently unresolved never used amazon sell anything never ever like average people broke due family situation husband line work paying bill always hard often impossible much le lot christmas hit economy rising cost mortgage food fuel make winter month especially hard u well million others trying scratch feed kid hope get sick hurt afford insurance either stepping soap box onto another tell problem amazon length family financial hardship try make bit cash whenever garage sale others often thing gathered given among thing never much every little bit help process estate sale friend family fortunate enough given item wanted sale picked thing needed home could sell couple buck one halo 3 collector helmet game holder set looking around actually comparing condition mine new placed amazon com dollars60 stay lower others sell faster hopefully item already system input spec picked picture amazon suggested shipping fee dollars3 99 charged buyer would receive back credit payment assumed mistakenly since item system already dimension weight included shipping cost would somewhat accurate ship thing family life near cause think unreasonable actually pay dollars13 standard shipping unhappy huge difference even though able say exact cost knowledgeable system low ball triple time posting item sale lot pop ups cost payment charge worked amazon would keeping sort order confusing wanted get hopefully get little extra cash holiday season sale happened pay much shipping called amazon complained asking could help said nothing recommend charge make extra shipping cost know would much lower would know much would cost beforehand supposed box go post office weighed put online think thing house sell put line box ship unreasonable expect everyone know much difference would suggest much le anyway extra way screw u say anyway real point mad pay much shipping think wrong enraged fact shipped given payment mistake making credit card recently expired new one number issued new date updated amazon account info new date showed accepted well putting deposit information routing account number compensation sent account refused move page continuing alert card invalid signed entered several time called customer support everything call beyond frustrating rep really listen well incapable understanding due idiocy one could help one could understand one could fix 3 attempt finally sent payment dept said bank denying dollars1 card verification account call tell amazon sending old expiration date approve send correctly go back amazon iming time angry speak properly explained simply first 3 sentence waste time 20 minute explain 4 time realizes help department boiling point really need money even 18 percent greedy bastard informed taking must one confusing pop ups update redo enter input everything still working call amazon explain explain transferred transferred past point rage blind fury finally get person try try might avail say card updated bank say wrong saying give frick frack dollars1 credit card verification anyway owed payment buying something routing account number credit card number irrelevant matter someone somewhere must able override seriously amazon multibillion dollar company known worldwide million consumer one get dollars52 one nothing know need money really need waiting payment department research case get back transfer whoever charge building talk yell berate supervisor minute cancel card account input go blank stare kidding two hour torment phone computer customer service could done minute one ready murder good news get money right oh sorry still request payment department issue special payment payment already issued owe money put hell fault along still getting money day processing kill many many reason never absolutely never sell anything amazon com ever soon money deposited account closed continue post report file complaint get tired damned long read full review
6562,opened seller account earlier year amazon wholesaler retailer selling miscellaneous item home grandmother started making money put hold account stating review nonsense negative feedback claim ship item product get bought webpage amazon get money right away amazon got paid stuff keep getting runaround bogus auto email account review process money disbursed december 8th prior account going review held money anyways first time happened two website people posting information stated say happened well individual seller make bogus reason keep money 30 day rhyme reason read full review
6563,partner longtime business partner city san francisco seller license business license fictitious name certification opened amazon account selling high volume item buy storage unit sell content also go estate sale garage sale electronics store proof every single transaction made sell item always get appraised make sure every item authentic opened amazon account try sell item course month sold dollars5000 good thousand amazon took fee perfectly fine considering selling much problem problem came 30 day account opened listing taken account suspended unknown reason called emailed countless time even sent certified letter headquarters requesting reason 2 week got response phone call someone india barely spoke english give u name id number asking supervisor told u telling u money gone supervisor hung u point tried contacting still got response two week later received call telling u account revoked sold item real called fake like said sell fake item get everything inspected selling anything storage unit provided appraisal documentation along receipt still get back u told u account completely suspended get money 90 day got told different story someone else saying account closed somehow related another account closed floored first amazon account ever seemed impossible could happen tried getting information try fix issue told many time seemed like high scam behalf amazon hold money 90 day nobody take call hang u immediately reach supervisor ask hang think fact made dollars5 000 one month saw opportunity hold onto 90 day since partner small business business license naming right seller permit becomes problem heavily taxed seems every week amazon money account supposed since file tax quarterly legally tax u legitimate business anyways suspension account dollars5000 account know weekly tax amazon fee dollars3500 open claim u customer receive item unable grab address information send anything suspension unable contact customer simply get online also complaint going amazon seem refunding money directly account without permission without knowing happening huge mess point money attorney late mortgage may homeless end month upon research online found ton people extensive selling record stellar feedback issue lot money started made completely ridiculous point need money please help read full review
6564,ordered hd dvd play seller want refund item opened play dvd open hd dvd player manufactured hd knowledge 720p/1080p/blu ray would take replacement standard definition seller even offer replacement many customer lose money outdated product like without refund opened product ridiculous scam
6565,seller account amazon never problem sold 35 item problem two return one customer problem item defective refunded customer one customer defective item wanted exchange even charge shipping second time fulfilled item 100 percent positive feedback amazon past monday canceled account said 12 percent return rate true holding money 90 day yesterday contacted said another person say receive item state contacted ten time shown proof delivery proof contacted twice responded immediately amazon refund person fund without getting product back believe person sociopath done company filing charge person monday theft deception read full review
6566,author/publisher print demand book amazon com amazon fixed 29 percent discount price find wildly excessive anything
6567,september 2011 ordered two book sweet shaven angel shaven unshaven amazon gave data mine including banking detail amazon confirmed order promised send book october 25 december 4 2011 far received anything book would greatly appreciate response
6568,received kindle gift le three month kindle stop working contacted amazon staff rude later ship replacement refurbished understand credit card submitted order get replacement e reader quite certain replacement kindle wifi 3rd g get definitive response would like feed back understand product brought new given gift send something refurbished demand credit card information hope hear earliest convenience
6569,amazon requires strict level performance allows seller sell toy xmas met criterion blocked toy selling due fraudulent claim everyone amazon agrees claim fraudulent unable get reply request restore toy selling right told problem widespread corporate office refused take phone call
6570,amazon com request social security number l legal
6571,sold htc window phone customer amazon prior selling phone customer asked return policy told accept return returned phone 10 day receiving phone customer gave 5 star describing phone excellent 25 day later requested return phone claiming phone defective amazon forced threatened deduct account refund customer phone finally returned defective condition yet amazon insisted refund full amount amazon closed company founded fraud stated seller right inform customer refund policy yet respect refund policy forced take defective phone customer used two month threatening withdraw full amount account wish proceed legal action amazon read full review
6572,selling amazon 6 month last week sale went lot good money xmas amazon decided hold money 30 day said review take 30 day restock get paid till january convenient seller team phone believe need sued would like going wal mart holding money till felt like giving back would jail robbery crime yet getting away holding dollars1 598 money buy stock sell need class law suit email read full review
6573,extremely disappointed quality product shipped amazon com amazon inability offer exchange despite product stock ordered ps3 bundle black friday deal received shipment day late problem unpacking component connecting ps3 tv finally inserted first game cd package ps3 made weird noise like cd getting ejected nothing would play icon screen tried another cd sequence repeated lot debugging looking user manual forum etc realized defective piece blu ray drive working needed replacement ideally would liked get exchange amazon would offer able offer refund get price package since black friday deal gone highly disappointed amazon offering exchange see package stock want pay higher price instead offering exchange ridiculous first made go pain shipping back defective package even offering exchange never shop amazon retailer used love shopping yesterday read full review
6574,amazon prime membership guarantee two day shipping purchased item 11/22/11 guaranteed delivery 25th amazon sent item ups 23rd changed delivery date 11/28 amazon customer service could explain shipping date changed initially claimed due thanksgiving holiday package shipped wednesday 23rd received monday 28th clear order shipped via two day delivery would appear amazon used thanksgiving holiday excuse alter term prime membership likely save million delivery cost shipping item via second day delivery promised consequence paid dollars79 prime membership honored guitar humidifiers purchased arrive time martin guitar drying colorado low winter humidity wait order delivered prime member encountered similar problem unlikely seek recourse individual delayed order believe class action suit undertaken accident fraud likely netted amazon considerable saving week shipping fee read full review
6575,user amazon 1 year first account opened new account remember password amazon make explicitly clear opening new account using information another account primary/first account instance violation rule new account simultaneously active older account course 3 day received email amazon stating account indefinitely closed course 3 day opened new account made 5 separate transaction totaling dollars185 50 item already shipped fund frozen 90 day duration amazon full possession avidly pursued amazon seller performance team issued email information regarding closure withholding fund ultimate resolution issue became apparent per search find mean communication amazon phone number amazon seller performance team provision verbal communication phone number sent email replying account closure letter received impersonal generic unhelpful response inhibiting form resolution way could contact amazon customer service number planned access seller performance team instead helpful informative productive mature conversation seller representative oscar supervisor gu rudely suppressed yelled hurried phone item shipped amazon refuse help money held else turn earnestly seeking aid resolution matter read full review
6576,amazon sold item without warning item returnable shipped simple electric shaving system braun without issue tried return amazon response make sense question amazon shipped cant ship back amazon response sorry due safety reason cannot accept return hazardous material include limited item flammable gas powered use propane natural gas fulfillment center risk accident simply great cannot accept return product special shipping restriction imposed u department transportation read full review
6577,amazon seller received email two day paid amazon funding telling suspended account saying get permission sell product signed seller consent sell car said holding fund 90 day emailed different department told different information claim chargebacks good seller saying decided allow item time changed mind item get paid amazon get commission immediately seller wait two week get paid took 15 percent sale told decision permanent would longer allowed sell item amazon change policy procedure anytime without notice extreme hardship family amazon source income going evicted daughter nowhere go read full review
6578,attempted recoup postage charge dollars47 60 u returned item find address send receipt essentially address one might send receipt requested credit
6579,used sell e book amazon e doc program stopped selling asked email remove title longer selling book 4 year ago recently found book still amazon top seller area contact amazon information want get paid whatever sale made since 2007 want book removed give run around called customer service corporate hq sent email many different department etc want email original email address yet since domain longer get email know dollars5 00 account dollars5 000 talk 3 people say going call back 1 response read full review
6580,hi let know amazon taken twice amount last purchase directly bank account 2 different date call bank morning confirmed first time many people complaining personally see robbery put query via bank told go blog website pas information people know careful better buying website cannot tolerated go trust rob u sure lost client going make sure make losing possible read full review
6581,customer purchased product company amazon store customer requested refund handled promptly issued refund check customer customer also filed z claim like amount refund got email amazon closing case issued refund check one minute later got another email amazon telling upon review determined refund check issued would deduct fund account immediately replied telling customer refunded amazon ignored reply ignored original documentation refund took money account jacked reserve costing even money happened october 12 2011 month daily send email customer service department seller support department z claim department get case closed response amazon called liar stole money account jacked fee respond email seller beware need amazon business need partner steal read full review
6582,amazon deleted main account wrong account 11/13 tried change email account associated main account amazon year purchased thousand dollar merchandise time since email hotmail associated one use log amazon recently compromised trying change account information kept getting error message amazon another account using new email want ask wanted account use email tried course called amazon support ask delete 2nd account information could change information primary main account stated would take couple hour would get email confirming account closed finally got email stating 2nd account gmail email account deleted cancelled figured everything okay logged main account hotmail amazon let log tried everything log called amazon upset course ask get say person deleted hotmail account one said supposed delete gmail account said could pull restore gmail account could restore hotmail account recent order one placed bank card information account setting furious spent hour phone put hold asking course information main account claiming mistake sorry get resolved phone call person said person supervisor would contacting first email still received shortly phone see could get account restored last heard hour ago 9 30 night email phone call amazon really time last time issue shipping product even trying cancel order even shipped take cake wondering could sue company deleting account probably would sure love sit unable access anything either account playing waiting game waste corporation amazon besides people spoke located usa could barley understand saying kept mispronouncing name incorrectly even told pronunciation annoying top read full review
6583,beware ordering amazon shared e mail numerous site purchased amazon received little spam garbage sale e mail receive 10 15 day business associate told set garbage e mail purpose amazon rep screwed emailed amazon never get actual conversation anyone amazon got lame statement would stop sending amazon marketing update future sold e mail address read poor experience prepared garbage account want take advantage offer might give read full review
6584,amazon social security number irs regulation require collection social security number amazon regardless sale volume amazon policy alters threshold concern privacy irs regulation require amazon collect ssn reach threshold amazon going information nothing need something serious concern back march amazon clearly stating irs required amazon collect ssn regardless sale volume threshold email amazon writer steve steve published internet march 31 2011 state following beginning 2011 tax year new irs regulation requires u payment processor including amazon file form 1099 k seller exceed dollars20 000 gross sale 200 transaction calendar year regulation also require seller taxpayer identification information file regardless sale volume order backup withholding apply gross sale amazon current faq clearly deceptively state new regulation require provide amazon social security number regardless sale volume faq 4 new regulation apply amazon seller yes however time seller exceed 50 transaction calendar year regardless sale volume required provide taxpayer identification information amazon however amazon email well amazon faq onus switch regulation amazon policy email beginning 2011 tax year new irs regulation requires amazon file form 1099 k seller exceed dollars20 000 unadjusted gross sale 200 transaction calendar year assist complying regulation requiring seller exceed 50 transaction calendar year regardless monetary threshold provide tax identity amazon faq answer question way faq 12 going come even close hitting reporting threshold amazon require tin amazon policy amazon com seller exceed 50 transaction calendar year regardless sale volume provide taxpayer identification information amazon interpret question give amazon authority collect tin amazon answer said cavalier amazon get irs regulation amazon policy determines annual sale volume threshold collecting social security number answer amazon certainly right ask social security number regardless threshold however long exceed irs annual sale volume threshold required collect required supply directive irs regulation otherwise long willing subject consequence irs would suffer consequence amazon apparently consequence lose privilege sell product venue reason yet disclosed amazon deceptively using regulation excuse obtain social security number something right something believe invasion right privacy right guaranteed every one u 9th amendment u constitution read full review
